model_name,coef_econ,coef_loc,coef_glob,model_pos_vars,model_neg_vars,data_pos_vars,data_neg_vars,modelcorrect,stanfile,model_data_name,csv_filename,seed
loc,1,0,0,Loc,Econ+Glob,Econ,Glob+Loc,no,stan_models/master_model.stan,econ_1_loc_0_glob_0_mod_loc,econ_1_loc_0_glob_0.csv,4725.623436747119
none,1,0,0,,Econ+Glob+Loc,Econ,Glob+Loc,no,stan_models/master_neg.stan,econ_1_loc_0_glob_0_mod_none,econ_1_loc_0_glob_0.csv,327.883739433717
econ_glob_loc,-1,1,0,Econ+Glob+Loc,,Loc,Econ+Glob,no,stan_models/master_pos.stan,econ_-1_loc_1_glob_0_mod_econ_glob_loc,econ_-1_loc_1_glob_0.csv,7070.248244479764
econ_glob,-1,1,0,Econ+Glob,Loc,Loc,Econ+Glob,no,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_econ_glob,econ_-1_loc_1_glob_0.csv,8026.011431688676
econ_loc,-1,1,0,Econ+Loc,Glob,Loc,Econ+Glob,no,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_econ_loc,econ_-1_loc_1_glob_0.csv,2874.806936172303
glob_loc,-1,1,0,Glob+Loc,Econ,Loc,Econ+Glob,no,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_glob_loc,econ_-1_loc_1_glob_0.csv,5406.838968614116
econ,-1,1,0,Econ,Glob+Loc,Loc,Econ+Glob,no,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_econ,econ_-1_loc_1_glob_0.csv,3593.152136403136
glob,-1,1,0,Glob,Econ+Loc,Loc,Econ+Glob,no,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_glob,econ_-1_loc_1_glob_0.csv,3293.2357842519414
loc,-1,1,0,Loc,Econ+Glob,Loc,Econ+Glob,yes,stan_models/master_model.stan,econ_-1_loc_1_glob_0_mod_loc,econ_-1_loc_1_glob_0.csv,7024.5088710258715
none,-1,1,0,,Econ+Glob+Loc,Loc,Econ+Glob,no,stan_models/master_neg.stan,econ_-1_loc_1_glob_0_mod_none,econ_-1_loc_1_glob_0.csv,1175.362079446204
