_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
ɑ̃,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-
o̯,+,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
t̪ʰ,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
d̪ʰ,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
dʒʰ,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-
ʈʰ,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ɖʰ,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
bʰ,+,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
ŋ͡m,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
ʔj,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-
ʊ,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
k͡p,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
