"","subject_id","tripletid","delta_dist_sub","subject_language","user_corr","phone_OTH","phone_TGT","phone_TGT_nat_non","phone_OTH_nat_non","cross_lang","glob","loc","econ"
"646","X_CSKAOILVZG","stimulus114_B",-1.04559996322236,"English",1,"θ","p","native","nonnat","cross_lang",0.462912087912088,0.720779220779221,0.0647773279352227
"647","X_CSKAOILVZG","stimulus116_A",-0.54836389839841,"English",0,"p","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"648","X_CSKAOILVZG","stimulus7_B",-1.70991133314294,"English",1,"ɑ","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"649","X_CSKAOILVZG","stimulus9_A",-0.0148844224823002,"English",0,"ʊ","ɑ","nonnat","native","cross_lang",0.571428571428571,0.606060606060606,0.141666666666667
"650","X_CSKAOILVZG","stimulus105_A",-0.74265512624992,"English",0,"ʃ","p","native","nonnat","cross_lang",0.462912087912088,0.720779220779221,0.0647773279352227
"651","X_CSKAOILVZG","stimulus8_A",-0.46337025240331,"English",0,"ɑ","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"652","X_CSKAOILVZG","stimulus54_B",-0.130875465097041,"English",1,"u","ʊ","native","nonnat","cross_lang",0.653846153846154,0.728501228501228,0.0298804780876494
"653","X_CSKAOILVZG","stimulus11_B",-1.04065514141091,"English",1,"ɑ","ʊ","native","nonnat","cross_lang",0.653846153846154,0.728501228501228,0.0298804780876494
"654","X_CSKAOILVZG","stimulus107_B",-0.22643288531948,"English",1,"p","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"655","X_CSKAOILVZG","stimulus1_A",0.28734820002048,"English",0,"æ","ɑ","nonnat","native","cross_lang",0.571428571428571,0.606060606060606,0.141666666666667
"656","X_CSKAOILVZG","stimulus2_B",-0.2700266735055,"English",1,"æ","ɑ","nonnat","native","cross_lang",0.571428571428571,0.606060606060606,0.141666666666667
"657","X_CSKAOILVZG","stimulus4_A",-0.35644186257345,"English",0,"ɑ","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"658","X_CSKAOILVZG","stimulus110_B",-2.18021361304106,"English",1,"s","p","native","nonnat","cross_lang",0.462912087912088,0.720779220779221,0.0647773279352227
"659","X_CSKAOILVZG","stimulus6_B",-0.12036529108904,"English",1,"i","ɑ","nonnat","native","cross_lang",0.571428571428571,0.606060606060606,0.141666666666667
"660","X_CSKAOILVZG","stimulus3_B",-0.19700151185169,"English",0,"ɑ","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"661","X_CSKAOILVZG","stimulus108_A",-2.23639226912035,"English",0,"p","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"662","X_CSKAOILVZG","stimulus57_A",0.44486364233204,"English",1,"u","ʊ","native","nonnat","cross_lang",0.653846153846154,0.728501228501228,0.0298804780876494
"663","X_CSKAOILVZG","stimulus60_A",-0.25678909599207,"English",1,"ʊ","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
