File1,Silence1,File2,Silence2,File3,CORR_ANS,filename,tripletid,ACTUAL_FILES
ewan_AFAH4.wav,500ms_silence.wav,ewan_APAH2.wav,500ms_silence.wav,amelia_APAH2.wav,B,stimulus67,stimulus67_B,stimulus67_B
amelia_APAH2.wav,500ms_silence.wav,amelia_AFAH4.wav,500ms_silence.wav,ewan_APAH2.wav,A,stimulus68,stimulus68_A,stimulus68_A
ewan_AFAH4.wav,500ms_silence.wav,ewan_ASHAH2.wav,500ms_silence.wav,amelia_AFAH4.wav,A,stimulus69,stimulus69_A,stimulus69_A
amelia_ASHAH2.wav,500ms_silence.wav,amelia_AFAH4.wav,500ms_silence.wav,ewan_AFAH4.wav,B,stimulus70,stimulus70_B,stimulus70_B
amelia_EEFEE2.wav,500ms_silence.wav,amelia_EESHEE3.wav,500ms_silence.wav,ewan_EESHEE3.wav,B,stimulus71,stimulus71_B,stimulus71_B
ewan_EESHEE3.wav,500ms_silence.wav,ewan_EEFEE2.wav,500ms_silence.wav,amelia_EESHEE3.wav,A,stimulus72,stimulus72_A,stimulus72_A
ewan_EEFEE2.wav,500ms_silence.wav,ewan_EESSEE3.wav,500ms_silence.wav,amelia_EEFEE2.wav,A,stimulus73,stimulus73_A,stimulus73_A
amelia_ASSAH2.wav,500ms_silence.wav,amelia_AFAH4.wav,500ms_silence.wav,ewan_AFAH4.wav,B,stimulus74,stimulus74_B,stimulus74_B
amelia_EEFEE2.wav,500ms_silence.wav,amelia_EESSEE3.wav,500ms_silence.wav,ewan_EESSEE3.wav,B,stimulus75,stimulus75_B,stimulus75_B
ewan_ASSAH2.wav,500ms_silence.wav,ewan_AFAH4.wav,500ms_silence.wav,amelia_ASSAH2.wav,A,stimulus76,stimulus76_A,stimulus76_A
amelia_AFAH4.wav,500ms_silence.wav,amelia_ATHAH2.wav,500ms_silence.wav,ewan_AFAH4.wav,A,stimulus77,stimulus77_A,stimulus77_A
ewan_ATHAH2.wav,500ms_silence.wav,ewan_AFAH4.wav,500ms_silence.wav,amelia_AFAH4.wav,B,stimulus78,stimulus78_B,stimulus78_B
amelia_EEFEE2.wav,500ms_silence.wav,amelia_EETHEE3.wav,500ms_silence.wav,ewan_EETHEE3.wav,B,stimulus79,stimulus79_B,stimulus79_B
ewan_EETHEE3.wav,500ms_silence.wav,ewan_EEFEE2.wav,500ms_silence.wav,amelia_EETHEE3.wav,A,stimulus80,stimulus80_A,stimulus80_A
ewan_EEFEE2.wav,500ms_silence.wav,ewan_EETEE3.wav,500ms_silence.wav,amelia_EEFEE2.wav,A,stimulus81,stimulus81_A,stimulus81_A
amelia_EETEE3.wav,500ms_silence.wav,amelia_EEFEE2.wav,500ms_silence.wav,ewan_EEFEE2.wav,B,stimulus82,stimulus82_B,stimulus82_B
amelia_AFAH4.wav,500ms_silence.wav,amelia_ATAH2.wav,500ms_silence.wav,ewan_ATAH2.wav,B,stimulus83,stimulus83_B,stimulus83_B
ewan_ATAH2.wav,500ms_silence.wav,ewan_AFAH4.wav,500ms_silence.wav,amelia_ATAH2.wav,A,stimulus84,stimulus84_A,stimulus84_A
ewan_EEKEE2.wav,500ms_silence.wav,ewan_EEPEE3.wav,500ms_silence.wav,amelia_EEKEE2.wav,A,stimulus85,stimulus85_A,stimulus85_A
ewan_APAH2.wav,500ms_silence.wav,ewan_AKAH4.wav,500ms_silence.wav,amelia_AKAH4.wav,B,stimulus86,stimulus86_B,stimulus86_B
amelia_EEKEE2.wav,500ms_silence.wav,amelia_EEPEE3.wav,500ms_silence.wav,ewan_EEPEE3.wav,B,stimulus87,stimulus87_B,stimulus87_B
amelia_APAH2.wav,500ms_silence.wav,amelia_AKAH4.wav,500ms_silence.wav,ewan_APAH2.wav,A,stimulus88,stimulus88_A,stimulus88_A
